Log ID	Log Received Time	Maintenance Activity Time	Short Description of Activity	Activity Start Time	Performer Name	Approver Name	Activity End Time	Time from Log to Start (mins)	Activity Duration (mins)	Full Time Span (mins)	Maintenance Type
LOG001	2025-08-21 08:05:00	08:20:00	Update system configuration	2025-08-21 08:20:00	Alice	Manager1	2025-08-21 09:00:00	15.0	40.0	55.0	Adaptive
LOG002	2025-08-21 09:10:00	09:25:00	Clean temporary files	2025-08-21 09:25:00	Bob	LeadA	2025-08-21 10:00:00	15.0	35.0	50.0	Preventive
LOG003	2025-08-21 10:05:00	10:20:00	Fix slow boot issue	2025-08-21 10:20:00	Charlie	Manager2	2025-08-21 11:10:00	15.0	50.0	65.0	Corrective
LOG004	2025-08-21 11:15:00	11:30:00	Improve UI responsiveness	2025-08-21 11:30:00	Diana	SupervisorX	2025-08-21 12:10:00	15.0	40.0	55.0	Perfective
LOG005	2025-08-21 12:20:00	12:35:00	Optimize search functionality	2025-08-21 12:35:00	Ethan	Manager1	2025-08-21 13:15:00	15.0	40.0	55.0	Perfective
LOG006	2025-08-21 13:10:00	13:25:00	Update password policies	2025-08-21 13:25:00	Alice	LeadA	2025-08-21 14:00:00	15.0	35.0	50.0	Adaptive
LOG007	2025-08-21 14:15:00	14:30:00	Restart database service	2025-08-21 14:30:00	Bob	Manager2	2025-08-21 15:10:00	15.0	40.0	55.0	Corrective
LOG008	2025-08-21 15:05:00	15:20:00	Run system diagnostics	2025-08-21 15:20:00	Charlie	SupervisorX	2025-08-21 16:00:00	15.0	40.0	55.0	Preventive
LOG009	2025-08-21 16:15:00	16:30:00	Fix printer connectivity	2025-08-21 16:30:00	Diana	LeadA	2025-08-21 17:05:00	15.0	35.0	50.0	Corrective
LOG010	2025-08-21 17:10:00	17:25:00	Archive old project files	2025-08-21 17:25:00	Ethan	Manager1	2025-08-21 18:00:00	15.0	35.0	50.0	Preventive
LOG011	2025-08-21 18:15:00	18:30:00	Reconfigure network switch	2025-08-21 18:30:00	Alice	SupervisorX	2025-08-21 19:15:00	15.0	45.0	60.0	Adaptive
